ProductId,Gender,Category,SubCategory,ProductType,Colour,Usage,ProductTitle,Image,ImageURL
44529,Men,Footwear,Sandal,Sandals,Black,Casual,Coolers Men Black Sandals,44529.jpg,http://assets.myntassets.com/v1/images/style/properties/Coolers-Men-Black-Sandals_d48cb0b603c630533c0a967fe23476c2_images.jpg
33649,Men,Footwear,Sandal,Sandals,Black,Casual,Lotto Men Stride Black Sandals,33649.jpg,http://assets.myntassets.com/v1/images/style/properties/070b37867589cbef2dbcc9da03d757ea_images.jpg
9037,Men,Footwear,Shoes,Formal Shoes,Black,Formal,Buckaroo Men Medina Black Formal Shoes,9037.jpg,http://assets.myntassets.com/v1/images/style/properties/a8ac7df8dc72daebf55abfb65c363671_images.jpg
12966,Men,Footwear,Shoes,Sports Shoes,Grey,Sports,ADIDAS Men Snova Glide Grey Sports Shoes,12966.jpg,http://assets.myntassets.com/v1/images/style/properties/00aa23eeb6dfa9fa2f77ab5d01e04e8f_images.jpg
39989,Men,Footwear,Shoes,Casual Shoes,Blue,Casual,Gas Men Skate Blue Shoes,39989.jpg,http://assets.myntassets.com/v1/images/style/properties/685c0dd339e58d20bd23e8f23a122f7f_images.jpg
9205,Men,Footwear,Shoes,Casual Shoes,Black,Casual,Puma Men SL Tech Lo NM Basic Black Casual Shoes,9205.jpg,http://assets.myntassets.com/v1/images/style/properties/e4b0626410783b1adc96db55574959dc_images.jpg
49494,Men,Footwear,Shoes,Casual Shoes,Navy Blue,Casual,Vans Men Navy Blue Shoes,49494.jpg,http://assets.myntassets.com/v1/images/style/properties/Vans-Men-Navy-Blue-Chukka-Boots_68bdb21782c59584f77fc80d9f2413b8_images.jpg
26539,Men,Footwear,Shoes,Casual Shoes,White,Casual,ID Men White & Black Shoes,26539.jpg,http://assets.myntassets.com/v1/images/style/properties/aebcef2573afb1f229353e0680b81959_images.jpg
23877,Men,Footwear,Shoes,Sports Shoes,White,Sports,Fila Men Cavier White Sports Shoes,23877.jpg,http://assets.myntassets.com/v1/images/style/properties/68b17ba79c69ba59f3033d921c8a59a9_images.jpg
29571,Men,Footwear,Shoes,Casual Shoes,Navy Blue,Casual,Vans Men Classic Slip-On Navy Blue Shoes,29571.jpg,http://assets.myntassets.com/v1/images/style/properties/61ff6d0a5a90c48fe528ddeada916425_images.jpg
22199,Men,Footwear,Shoes,Casual Shoes,Black,Casual,Timberland Men Black Casual Shoes,22199.jpg,http://assets.myntassets.com/v1/images/style/properties/4848cfb30ff987fee622b21322e4451b_images.jpg
6629,Men,Footwear,Shoes,Sports Shoes,White,Sports,ADIDAS Men's Galvin White Silver Black Shoe,6629.jpg,http://assets.myntassets.com/v1/images/style/properties/3d67098ff0b7461cd8c4d35ed605695c_images.jpg
22536,Men,Footwear,Shoes,Casual Shoes,Green,Casual,Gas Men Skate Green Casual Shoes,22536.jpg,http://assets.myntassets.com/v1/images/style/properties/9158e03588d188017e4ea8a8f45c2d5a_images.jpg
41858,Men,Footwear,Sandal,Sandals,Brown,Casual,Estd. 1977 Men Brown Sandals,41858.jpg,http://assets.myntassets.com/v1/images/style/properties/9efd7ae56fafd8f9e64f3829d9d3ca0c_images.jpg
21181,Men,Footwear,Flip Flops,Flip Flops,Yellow,Casual,ADIDAS Men Adi Stars Tread Yellow Flip Flops,21181.jpg,http://assets.myntassets.com/v1/images/style/properties/fc8aa316b1055183689cf6f1487f911a_images.jpg
39942,Men,Footwear,Shoes,Casual Shoes,Navy Blue,Casual,Gas Men Navy Blue Shoes,39942.jpg,http://assets.myntassets.com/v1/images/style/properties/d039d725e9893e24fd9f021de968a920_images.jpg
44516,Men,Footwear,Flip Flops,Flip Flops,Black,Casual,Coolers Men Black Pokar Flip Flops,44516.jpg,http://assets.myntassets.com/v1/images/style/properties/Coolers-Men-POKAR-Black-Flip-Flops_ee113772a64e396ec9166036cdf547c0_images.jpg
8912,Men,Footwear,Shoes,Sports Shoes,White,Sports,Puma Men Cabana Racer Sketch White Sports Shoes,8912.jpg,http://assets.myntassets.com/v1/images/style/properties/043071beb363cc49b9be54743ddf8ff6_images.jpg
22704,Men,Footwear,Shoes,Casual Shoes,White,Casual,Nike Men Capri II Mid White Casual Shoes,22704.jpg,http://assets.myntassets.com/v1/images/style/properties/976afdd1471339064495b533489e41bf_images.jpg
16969,Men,Footwear,Sandal,Sandals,Black,Casual,Puma Men Coupe Black Sandal,16969.jpg,http://assets.myntassets.com/v1/images/style/properties/efca982ea19c2521dda37ed9fb603799_images.jpg
43357,Men,Footwear,Shoes,Sports Shoes,Black,Sports,Reebok Men Black Ultimate Vibe Sports Shoes,43357.jpg,http://assets.myntassets.com/v1/images/style/properties/44010cc893bc40d8ac8e9a94c67dc1d4_images.jpg
16155,Men,Footwear,Shoes,Formal Shoes,Brown,Formal,Enroute Men Leather Brown Formal Shoes,16155.jpg,http://assets.myntassets.com/v1/images/style/properties/0bfd0d3daf35ed10a922ec248548470f_images.jpg
50740,Men,Footwear,Shoes,Formal Shoes,Black,Formal,Red Chief Men Black Formal Shoes,50740.jpg,http://assets.myntassets.com/v1/images/style/properties/e37ef333be6a8e14be8410580873a611_images.jpg
22152,Men,Footwear,Sandal,Sandals,Olive,Casual,Lee Cooper Men Casual Sandals,22152.jpg,http://assets.myntassets.com/v1/images/style/properties/94b46fd2b139a7b2397ca25628704dbd_images.jpg
7730,Men,Footwear,Sandal,Sandals,Black,Casual,Puma Men Apex Black Olive Sandal,7730.jpg,http://assets.myntassets.com/v1/images/style/properties/f525e99cbf1f5b6c4ab775e569d6beb6_images.jpg
43959,Men,Footwear,Sandal,Sandals,Grey,Casual,Puma Men Grey Sandals,43959.jpg,http://assets.myntassets.com/v1/images/style/properties/645e28828551998ae6a4f33226ef3c38_images.jpg
15724,Men,Footwear,Shoes,Sports Shoes,Grey,Sports,Nike Men Free Run+ 2 Shield Grey Sports Shoes,15724.jpg,http://assets.myntassets.com/v1/images/style/properties/c958b7cb77f51aff23530d749ad5779a_images.jpg
23246,Men,Footwear,Shoes,Formal Shoes,Black,Formal,Arrow Men Formal Black Shoe,23246.jpg,http://assets.myntassets.com/v1/images/style/properties/af8087a06f0c9ab02a37e22c4cae5dc7_images.jpg
6424,Men,Footwear,Flip Flops,Flip Flops,Navy Blue,Casual,Lotto Men's Tennis Mule Navy Blue Flip Flop,6424.jpg,http://assets.myntassets.com/v1/images/style/properties/d009623b103d388d2b799d03752746aa_images.jpg
42043,Men,Footwear,Shoes,Casual Shoes,Black,Casual,Nike Men Black Shoes,42043.jpg,http://assets.myntassets.com/v1/images/style/properties/673b012f8890500c1cc057fadb855541_images.jpg
23848,Men,Footwear,Shoes,Sports Shoes,White,Sports,ADIDAS Men White Razor Sports Shoes,23848.jpg,http://assets.myntassets.com/v1/images/style/properties/f959fa984e009c3be2b201faff29e1a5_images.jpg
4141,Men,Footwear,Shoes,Casual Shoes,White,Casual,Fila Men's Breath White Red Shoe,4141.jpg,http://assets.myntassets.com/v1/images/style/properties/2b324f99796b96c6e18d6128a1784163_images.jpg
15516,Men,Footwear,Flip Flops,Flip Flops,Navy Blue,Casual,Rockport Men Altrezlp Navy Blue Flip Flops,15516.jpg,http://assets.myntassets.com/v1/images/style/properties/8e61745c35f663f59c82e7e68ae30c23_images.jpg
24251,Men,Footwear,Shoes,Casual Shoes,Black,Casual,Numero Uno Men Black Casual Shoes,24251.jpg,http://assets.myntassets.com/v1/images/style/properties/73ac516d10dd631f07415d206bad0c05_images.jpg
54542,Men,Footwear,Shoes,Sports Shoes,White,Sports,F Sports Men White Hurricane Sports Shoes,54542.jpg,http://assets.myntassets.com/v1/images/style/properties/F-Sports-Men-White-Hurricane-Sports-Shoes_42056340c92493a9c33526f3b1602fc4_images.jpg
35575,Men,Footwear,Flip Flops,Flip Flops,Green,Casual,Gliders Men Green Esquire Flip Flops,35575.jpg,http://assets.myntassets.com/v1/images/style/properties/Gliders-Men-Green-Esquire-Flip-Flops_f5168c977080a420cf18c78cb7ca4336_images.jpg
45602,Men,Footwear,Shoes,Formal Shoes,Brown,Formal,Arrow Men Brown Formal Shoes,45602.jpg,http://assets.myntassets.com/v1/images/style/properties/6b7d60e42466a293bc7a976449245675_images.jpg
4525,Men,Footwear,Shoes,Sports Shoes,White,Sports,Puma Men's YugoRun White Red Shoe,4525.jpg,http://assets.myntassets.com/v1/images/style/properties/238b3b400213329e4cd1b554140b23f8_images.jpg
21175,Men,Footwear,Shoes,Sports Shoes,White,Sports,ADIDAS Men Lowell White Sports Shoe,21175.jpg,http://assets.myntassets.com/v1/images/style/properties/fc0d77a69b91e580d38bffd75a936dcb_images.jpg
10632,Men,Footwear,Shoes,Casual Shoes,Brown,Casual,Carlton London Men Brown Shoes,10632.jpg,http://assets.myntassets.com/v1/images/style/properties/Carlton-London-Men-CL-semi-cas-Brown-Casual-Shoes_a9d0af87aa3dcfaeee65b44432de7fea_images.jpg
30235,Men,Footwear,Flip Flops,Flip Flops,Brown,Casual,Numero Uno Men Brown Flip Flops,30235.jpg,http://assets.myntassets.com/v1/images/style/properties/5ba3a67486e2c88961ea1e5689c8563b_images.jpg
12959,Men,Footwear,Shoes,Sports Shoes,Black,Sports,ADIDAS Men Sports Black Sports Shoes,12959.jpg,http://assets.myntassets.com/v1/images/style/properties/b09d86bef23eccef029df70930c162b8_images.jpg
34635,Men,Footwear,Shoes,Casual Shoes,Black,Casual,Lotto Men XD III Black Shoes,34635.jpg,http://assets.myntassets.com/v1/images/style/properties/b21367a701d654464ae8c1ceb521d773_images.jpg
23682,Men,Footwear,Shoes,Casual Shoes,Black,Casual,Red Tape Men Black Casual Shoes,23682.jpg,http://assets.myntassets.com/v1/images/style/properties/b7adbd4e6933e586a69433e31c668ddf_images.jpg
46215,Men,Footwear,Shoes,Sports Shoes,Orange,Sports,ADIDAS Men Orange Sports Shoes,46215.jpg,http://assets.myntassets.com/v1/images/style/properties/626f831620dfb63d0ecc780806bc7f64_images.jpg
3592,Men,Footwear,Shoes,Casual Shoes,Blue,Casual,Converse Men's All Star Canvas Ox Navy Blue Shoe,3592.jpg,http://assets.myntassets.com/v1/images/style/properties/9cec0bcd1bcd475d5adb1a0debf81a9b_images.jpg
25575,Men,Footwear,Shoes,Sports Shoes,White,Sports,Fila Men Surveillance White Shoes,25575.jpg,http://assets.myntassets.com/v1/images/style/properties/0b529ff91b7d773ea9f1fd242412821c_images.jpg
5665,Men,Footwear,Flip Flops,Flip Flops,Grey,Casual,ADIDAS Men's Slide Grey Orange Flip Flop,5665.jpg,http://assets.myntassets.com/v1/images/style/properties/5d4748a6ae5fecb41977d8c4fe7ac09e_images.jpg
24695,Men,Footwear,Sandal,Sandals,Black,Casual,Lotto Men Hermes Black Sandals,24695.jpg,http://assets.myntassets.com/v1/images/style/properties/fd69840076267874eaaef3d85ed7a981_images.jpg
44770,Men,Footwear,Shoes,Casual Shoes,Black,Casual,Globalite Men Black Skid Shoes,44770.jpg,http://assets.myntassets.com/v1/images/style/properties/4afe5a31ac385e4e43ca98ed9e1ef734_images.jpg
31949,Men,Footwear,Shoes,Sports Shoes,White,Sports,Nike Men Zoom Vomero White Sports Shoes,31949.jpg,http://assets.myntassets.com/v1/images/style/properties/24354f3ae110b7a6aa0fb19ffa6f0f06_images.jpg
57531,Men,Footwear,Shoes,Casual Shoes,Mushroom Brown,Casual,Provogue Men Mushroom Brown Casual Shoes,57531.jpg,http://assets.myntassets.com/v1/images/style/properties/Provogue-Men-Mushroom-Brown-Casual-Shoes_63c5624508f1ae3d4ce5256c1e82492a_images.jpg
41454,Men,Footwear,Shoes,Casual Shoes,White,Casual,Lee Cooper Men White Shoes,41454.jpg,http://assets.myntassets.com/v1/images/style/properties/a10af61df2d146c2c714afde54623cbd_images.jpg
33848,Men,Footwear,Shoes,Casual Shoes,Brown,Casual,Puma Men Drift Cat Brown Shoes,33848.jpg,http://assets.myntassets.com/v1/images/style/properties/Puma-Men-Drift-Cat-Brown-Shoes_b37c89652031b205bcd19c36d6c686bd_images.jpg
14490,Men,Footwear,Shoes,Casual Shoes,Grey,Casual,Flying Machine Men Casual Grey Casual Shoes,14490.jpg,http://assets.myntassets.com/v1/images/style/properties/965790109837039bd54cc16fe885ce9e_images.jpg
6642,Men,Footwear,Shoes,Sports Shoes,White,Sports,Nike Men's Air Max Lte White Blue Shoe,6642.jpg,http://assets.myntassets.com/v1/images/style/properties/3ccc31f0b88b7a4c070286cbd0c4d14e_images.jpg
26552,Men,Footwear,Shoes,Casual Shoes,Black,Casual,ID Men Black Shoes,26552.jpg,http://assets.myntassets.com/v1/images/style/properties/260feb93da07d02483d2c9b5beb15e06_images.jpg
42017,Men,Footwear,Shoes,Sports Shoes,White,Sports,ADIDAS Men White Phaedra Sports Shoes,42017.jpg,http://assets.myntassets.com/v1/images/style/properties/c7e25fa074d71959905d645878cb53be_images.jpg
6470,Men,Footwear,Shoes,Casual Shoes,Brown,Casual,Numero Uno Men's Beige Brown Casual Shoe,6470.jpg,http://assets.myntassets.com/v1/images/style/properties/2ed17831fbdb5f6c663203b0e601293b_images.jpg
17027,Men,Footwear,Flip Flops,Flip Flops,Navy Blue,Casual,Gas Men Navy Blue Flip Flops,17027.jpg,http://assets.myntassets.com/v1/images/style/properties/1ce6f219f00dc784baf7715efa0ca189_images.jpg
23676,Men,Footwear,Sandal,Sandals,Black,Casual,Red Tape Men Cross Band Black Sandals,23676.jpg,http://assets.myntassets.com/v1/images/style/properties/fbee867387ae6f303458cb86a7e46fa5_images.jpg
35713,Men,Footwear,Shoes,Sports Shoes,Red,Sports,Nike Men Jordan Fly Wade Red Sports Shoes,35713.jpg,http://assets.myntassets.com/v1/images/style/properties/ce92252df97b5a245757777a5c39a572_images.jpg
30261,Men,Footwear,Shoes,Formal Shoes,Brown,Formal,Red Tape Men Brown Formal Shoes,30261.jpg,http://assets.myntassets.com/v1/images/style/properties/002b3bb2558112872d67170f3c394361_images.jpg
3566,Men,Footwear,Shoes,Sports Shoes,White,Sports,ADIDAS Men's White Silver Running Shoe,3566.jpg,http://assets.myntassets.com/v1/images/style/properties/7dae540b7b309f050e1e1b635ceabf85_images.jpg
24453,Men,Footwear,Shoes,Sports Shoes,Blue,Sports,Nike Men Free Run Blue Sports Shoes,24453.jpg,http://assets.myntassets.com/v1/images/style/properties/a6cfb0dfdce27e16b5ef4f5ef7e61c6c_images.jpg
15314,Men,Footwear,Shoes,Sports Shoes,White,Sports,ADIDAS Men Ranger White Sports Shoes,15314.jpg,http://assets.myntassets.com/v1/images/style/properties/6c9cf98f7b982edd225753d9cd2d4cd0_images.jpg
5691,Men,Footwear,Shoes,Casual Shoes,White,Casual,Skechers Men's Regions Off White Shoe,5691.jpg,http://assets.myntassets.com/v1/images/style/properties/e508e488636ba30755268cd5b917f465_images.jpg
44784,Men,Footwear,Shoes,Sports Shoes,White,Casual,Lotto Men White Torcida Shoes,44784.jpg,http://assets.myntassets.com/v1/images/style/properties/c462e119a8ee401e9cd03f9e2e7a647f_images.jpg
35521,Men,Footwear,Flip Flops,Flip Flops,Blue,Casual,Bata Men Sandy Blue Flip Flops,35521.jpg,http://assets.myntassets.com/v1/images/style/properties/3f14b5325030c3476514158160768646_images.jpg
54516,Men,Footwear,Shoes,Sports Shoes,White,Sports,F Sports Men White Velocity Sports Shoes,54516.jpg,http://assets.myntassets.com/v1/images/style/properties/F-Sports-Men-White-Velocity-Sports-Shoes_14345420e63e868eda0ec2e246cdb3b8_images.jpg
2827,Men,Footwear,Shoes,Formal Shoes,Black,Formal,Lee Cooper Men's Formal Simpleton Black Shoe,2827.jpg,http://assets.myntassets.com/v1/images/style/properties/b83e64858ee7aa7fc15ea781eebf1a4f_images.jpg
22139,Men,Footwear,Shoes,Formal Shoes,Black,Formal,Provogue Men Black Formal Shoes,22139.jpg,http://assets.myntassets.com/v1/images/style/properties/ed320434e393037062908c10a0368a2d_images.jpg
26599,Men,Footwear,Shoes,Sports Shoes,Blue,Sports,Puma Men Faas 300 Blue Sports Shoes,26599.jpg,http://assets.myntassets.com/v1/images/style/properties/4a7bc59ac70c9c71216f495d56c5fc02_images.jpg
34860,Men,Footwear,Shoes,Casual Shoes,Black,Casual,Vans Men Era Black Shoes,34860.jpg,http://assets.myntassets.com/v1/images/style/properties/Vans-Men-Era-Black-Shoes_10b0bb17185116b7844cc95ef27fb0d7_images.jpg
11915,Men,Footwear,Sandal,Sandals,Brown,Casual,Franco Leone Men Casual Brown Sandals,11915.jpg,http://assets.myntassets.com/v1/images/style/properties/ff5f8a17b2ae517679a28ab5640c37de_images.jpg
5468,Men,Footwear,Shoes,Sports Shoes,White,Sports,Nike Men's Lunareclipse White Shoe,5468.jpg,http://assets.myntassets.com/v1/images/style/properties/be5106fa146a771fdb128833b4ab9b8b_images.jpg
20804,Men,Footwear,Shoes,Sports Shoes,White,Sports,Fila Men Streak White Sports Shoes,20804.jpg,http://assets.myntassets.com/v1/images/style/properties/b1000636b5755c276de3462524b46e46_images.jpg
